gen,stage,mean_fit,max_fit,sigma,eval_return,arrivals,charged,cells,bumps,fell,flat,secs
0,0,33.93,158.38,0.0799,53.75,0.0,0.0,6.1,0.0,0.6,0.0,2.82
1,0,39.51,131.69,0.0798,,,,,,,,2.25
2,0,66.94,181.98,0.0798,,,,,,,,2.76
3,0,51.16,116.95,0.0797,,,,,,,,2.3
4,0,84.24,181.59,0.0796,107.67,0.0,0.0,4.4,0.0,0.2,0.0,2.95
5,0,44.41,117.51,0.0795,,,,,,,,2.08
6,0,83.82,148.77,0.0794,,,,,,,,2.51
7,0,141.46,212.79,0.0794,,,,,,,,3.0
8,0,174.77,246.23,0.0793,,,,,,,,2.87
9,0,93.02,178.02,0.0792,134.29,0.0,0.0,8.8,0.0,0.6,0.0,1.65
10,0,24.03,190.5,0.0791,,,,,,,,0.88
11,0,121.31,245.45,0.079,,,,,,,,1.91
12,0,104.86,195.12,0.079,,,,,,,,1.72
13,0,152.93,269.8,0.0789,,,,,,,,2.45
14,0,127.72,213.56,0.0788,133.96,0.0,0.0,5.6,0.0,0.3,0.0,2.36
15,0,139.76,242.2,0.0787,,,,,,,,2.83
16,0,147.3,220.06,0.0787,,,,,,,,3.2
17,0,154.51,277.7,0.0786,,,,,,,,3.21
18,0,171.7,265.71,0.0785,,,,,,,,3.24
19,0,149.79,213.0,0.0784,164.89,0.0,0.0,7.4,0.0,0.3,0.0,2.72
20,0,152.65,212.73,0.0783,,,,,,,,2.4
21,0,176.46,241.09,0.0783,,,,,,,,2.55
22,0,198.96,302.0,0.0782,,,,,,,,2.75
23,0,163.24,251.3,0.0781,,,,,,,,2.18
24,0,132.73,251.22,0.078,153.18,0.0,0.0,9.0,0.0,0.5,0.0,2.01
25,0,133.94,204.55,0.0779,,,,,,,,1.92
26,0,2.19,87.82,0.0779,,,,,,,,0.68
27,0,172.04,228.92,0.0778,,,,,,,,2.87
28,0,73.12,193.36,0.0777,,,,,,,,1.77
29,0,140.28,223.04,0.0776,146.38,0.0,0.0,5.2,0.0,0.2,0.0,2.87
30,0,96.98,172.16,0.0776,,,,,,,,2.36
31,0,176.65,290.84,0.0775,,,,,,,,3.29
32,0,96.76,214.46,0.0774,,,,,,,,2.35
33,0,122.8,207.95,0.0773,,,,,,,,2.8
34,0,174.16,269.74,0.0772,166.39,0.0,0.0,6.1,0.0,0.2,0.0,3.23
35,0,204.16,294.79,0.0772,,,,,,,,3.19
36,0,124.19,205.31,0.0771,,,,,,,,2.17
37,0,84.54,255.69,0.077,,,,,,,,1.78
38,0,137.01,264.46,0.0769,,,,,,,,2.05
39,0,101.7,221.06,0.0769,203.85,0.0,0.0,10.2,0.0,0.3,0.0,1.75
40,0,181.07,314.63,0.0768,,,,,,,,2.67
41,0,171.03,298.94,0.0767,,,,,,,,2.72
42,0,187.81,291.51,0.0766,,,,,,,,3.14
43,0,139.78,249.72,0.0766,,,,,,,,2.6
44,0,146.39,259.33,0.0765,194.87,0.0,0.0,6.3,0.0,0.0,0.0,3.18
45,0,165.81,280.44,0.0764,,,,,,,,3.32
46,0,178.84,329.17,0.0763,,,,,,,,3.12
47,0,132.34,254.55,0.0762,,,,,,,,2.69
48,0,209.25,377.6,0.0762,,,,,,,,3.23
49,0,224.8,365.47,0.0761,285.28,0.0,0.0,15.9,0.0,0.1,0.0,3.28
50,1,72.71,183.14,0.076,,,,,,,,2.36
51,1,66.16,196.71,0.0759,,,,,,,,2.54
52,1,108.58,248.93,0.0759,,,,,,,,3.27
53,1,82.42,219.98,0.0758,,,,,,,,3.45
54,1,124.53,253.51,0.0757,180.47,0.0,0.0,8.1,1.3,0.0,0.0,3.96
55,1,171.85,271.1,0.0756,,,,,,,,4.98
56,1,113.72,204.13,0.0756,,,,,,,,4.83
57,1,145.67,239.43,0.0755,,,,,,,,4.54
58,1,177.73,286.49,0.0754,,,,,,,,5.11
59,1,182.17,297.52,0.0753,199.74,0.0,0.0,11.2,2.5,0.2,0.0,5.11
60,1,188.55,318.07,0.0753,,,,,,,,4.12
61,1,105.91,228.06,0.0752,,,,,,,,3.19
62,1,96.44,221.75,0.0751,,,,,,,,2.66
63,1,227.55,337.2,0.075,,,,,,,,4.72
64,1,142.16,254.78,0.075,197.94,0.0,0.0,12.4,8.1,0.3,0.0,3.31
65,1,117.18,230.65,0.0749,,,,,,,,3.22
66,1,94.19,177.81,0.0748,,,,,,,,3.89
67,1,135.88,239.23,0.0747,,,,,,,,4.51
68,1,112.46,178.6,0.0747,,,,,,,,4.64
69,1,151.91,251.18,0.0746,139.3,0.0,0.0,6.5,0.1,0.0,0.0,4.41
70,1,143.94,245.13,0.0745,,,,,,,,4.79
71,1,138.51,266.68,0.0744,,,,,,,,4.78
72,1,169.88,271.26,0.0744,,,,,,,,5.2
73,1,195.87,278.8,0.0743,,,,,,,,4.8
74,1,81.11,228.31,0.0742,219.05,0.0,0.0,15.6,20.3,0.3,0.0,3.68
75,1,104.39,242.27,0.0741,,,,,,,,3.1
76,1,67.17,266.79,0.0741,,,,,,,,1.96
77,1,101.34,251.37,0.074,,,,,,,,2.93
78,1,51.28,160.52,0.0739,,,,,,,,2.49
79,1,168.32,272.17,0.0738,189.36,0.0,0.0,10.1,1.5,0.3,0.0,4.54
80,1,170.45,277.02,0.0738,,,,,,,,4.72
81,1,211.48,292.6,0.0737,,,,,,,,4.8
82,1,166.14,239.45,0.0736,,,,,,,,4.91
83,1,194.75,307.14,0.0736,,,,,,,,4.41
84,1,201.81,286.26,0.0735,199.85,0.0,0.0,9.6,4.2,0.0,0.0,4.75
85,1,218.34,324.8,0.0734,,,,,,,,4.75
86,1,174.04,238.26,0.0733,,,,,,,,4.11
87,1,200.48,308.79,0.0733,,,,,,,,4.2
88,1,185.79,309.31,0.0732,,,,,,,,3.93
89,1,161.12,272.7,0.0731,225.93,0.0,0.0,14.7,6.3,0.3,0.0,3.39
90,1,180.96,295.96,0.073,,,,,,,,3.35
91,1,159.46,272.1,0.073,,,,,,,,3.28
92,1,244.04,347.38,0.0729,,,,,,,,3.8
93,1,194.34,307.71,0.0728,,,,,,,,4.63
94,1,205.99,311.38,0.0727,203.52,0.0,0.0,8.4,5.4,0.0,0.0,5.08
95,1,176.78,240.07,0.0727,,,,,,,,5.43
96,1,182.24,256.04,0.0726,,,,,,,,5.58
97,1,219.08,339.03,0.0725,,,,,,,,4.34
98,1,209.07,317.1,0.0725,,,,,,,,5.01
99,1,101.11,190.61,0.0724,245.72,0.0,0.0,17.2,20.8,0.1,0.0,4.98
100,2,0.37,76.08,0.0723,,,,,,,,4.36
101,2,26.04,102.98,0.0722,,,,,,,,4.43
102,2,45.53,128.98,0.0722,,,,,,,,4.38
103,2,21.77,83.04,0.0721,,,,,,,,5.28
104,2,76.83,152.22,0.072,67.71,0.0,0.0,10.3,14.3,0.0,0.0,5.66
105,2,57.39,152.63,0.072,,,,,,,,5.48
106,2,55.95,121.12,0.0719,,,,,,,,6.04
107,2,40.82,119.83,0.0718,,,,,,,,6.29
108,2,75.08,158.68,0.0717,,,,,,,,6.79
109,2,80.84,240.23,0.0717,97.82,0.1,0.0,11.7,13.7,0.0,0.0,5.62
110,2,75.87,240.69,0.0716,,,,,,,,5.83
111,2,163.12,271.02,0.0715,,,,,,,,6.97
112,2,160.41,278.49,0.0714,,,,,,,,5.28
113,2,89.94,278.18,0.0714,,,,,,,,5.55
114,2,161.59,337.12,0.0713,213.55,1.5,0.0,22.4,58.3,0.2,0.0,4.99
115,2,161.39,334.19,0.0712,,,,,,,,4.73
116,2,253.89,388.71,0.0712,,,,,,,,5.88
117,2,278.08,422.6,0.0711,,,,,,,,5.11
118,2,173.38,295.81,0.071,,,,,,,,5.64
119,2,156.4,297.95,0.0709,220.93,1.7,0.0,15.7,20.2,0.0,0.0,6.25
120,3,107.3,257.64,0.0709,,,,,,,,5.43
121,3,201.02,313.84,0.0708,,,,,,,,5.2
122,3,176.86,294.67,0.0707,,,,,,,,5.42
123,3,147.0,229.19,0.0707,,,,,,,,5.48
